% of Net Assets,Ticker,Name,SEDOL,Market Price ($),Shares Held,Market Value ($)
20.87,ET,ENERGY TRANSFER LP,B0WHXD2,13.33,"22,735,436.84","303,063,373.08"
13.76,EPD,ENTERPRISE PRODU,2285388,26.25,"7,611,951.00","199,813,713.75"
12.17,MPLX,MPLX LP,B847R56,35.87,"4,925,004.00","176,659,893.48"
10.8,PAA,PLAINS ALL AMER,2311960,14.95,"10,486,658.00","156,775,537.10"
10.32,WES,WESTERN MIDSTREA,BJ552C8,28.24,"5,303,028.00","149,757,510.72"
9.47,ENLC,ENLINK MIDSTREAM LLC,BJTNDQ9,12.81,"10,731,120.00","137,465,647.20"
8.26,CQP,CHENIERE ENERGY,B1VNH36,59.3,"2,023,409.00","119,988,153.70"
6.53,NS,NUSTAR ENERGY LP,2738804,19,"4,991,913.00","94,846,347.00"
5.91,HESM,HESS MIDSTREAM-A,BKPK695,30.7,"2,795,220.00","85,813,254.00"
4.53,GEL,GENESIS ENERGY L.P.,2372257,12.32,"5,334,251.00","65,717,972.32"
1.52,DKL,DELEK LOGISTICS,B927XT1,49.92,"443,193.00","22,124,194.56"
0.01,,CASH,,1,"133,851.43","133,851.43"
0,PSX,PHILLIPS 66,B78C4Y8,124.62,100,"12,462.00"
0,MLPX,GLOBAL X MLP & E,BMCJKQ4,43.78,100,"4,378.00"
0,CAPL,CROSSAMERICA PARTNERS LP,BRGMGR7,22.77,100,"2,277.00"
0,SMLP,SUMMIT MIDSTREAM,BMDMZ34,17.99,100,"1,799.00"
0,GPP,GREEN PLAINS PARTNERS LP,BYNLXR5,11.9,100,"1,190.00"
0,NGL,NGL ENERGY PARTNERS LP,B45GFM7,4.26,100,426
0,MMLP,MARTIN MIDSTREAM,2057424,2.4,100,239.5
0,SNMP,EVOLVE TRANSITIO,BR1W605,1.4,100,139.99
0,USDP,USD PARTNERS LP,BRD6NY8,0.23,100,22.5
-4.16,,OTHER PAYABLE & RECEIVABLES,,1,"-60,325,502.90","-60,325,502.90"
